"id","category","query","elapsed_s","logcat_line","path","top","score","tools","response","status","error","expected","forbidden"
"C1-01","1","What is my dog's name?","1","09-23 14:27:56.180  6270  7132 I TestQuery: id=C1-01 cat=1 ms=3959 path=standard top=current_dog score=5.688 tools=0 resp='My dog`s name is Biscuit.'","standard","current_dog","5.688","0","My dog`s name is Biscuit.","PASS",,"Biscuit","Rex | Fluffy"
"C1-02","1","What is my wife's name?","1","09-23 14:28:01.382  6270  7176 I TestQuery: id=C1-02 cat=1 ms=3817 path=standard top=name_wife score=5.350 tools=0 resp='My wife`s name is Mei.'","standard","name_wife","5.350","0","My wife`s name is Mei.","PASS",,"Mei",""
"C1-03","1","What is my daughter's name?","1","09-23 14:28:06.781  6270  7218 I TestQuery: id=C1-03 cat=1 ms=3908 path=standard top=name_daughter score=4.253 tools=0 resp='My daughter`s name is Luna.'","standard","name_daughter","4.253","0","My daughter`s name is Luna.","PASS",,"Luna",""
"C1-04","1","What is my son's name?","1","09-23 14:28:12.058  6270  7256 I TestQuery: id=C1-04 cat=1 ms=3820 path=standard top=name_son score=5.141 tools=0 resp='My son`s name is Kai.'","standard","name_son","5.141","0","My son`s name is Kai.","PASS",,"Kai",""
"C1-05","1","What is my favorite food?","1","09-23 14:28:17.390  6270  7295 I TestQuery: id=C1-05 cat=1 ms=3764 path=standard top=fav_food score=5.613 tools=0 resp='My favorite food is ramen.'","standard","fav_food","5.613","0","My favorite food is ramen.","PASS",,"ramen",""
"C1-06","1","What is my favorite color?","1","09-23 14:28:22.743  6270  7336 I TestQuery: id=C1-06 cat=1 ms=3874 path=standard top=fav_color score=6.757 tools=0 resp='My favorite color is forest green.'","standard","fav_color","6.757","0","My favorite color is forest green.","PASS",,"green",""
"C1-07","1","When is my birthday?","1","09-23 14:28:28.313  6270  7377 I TestQuery: id=C1-07 cat=1 ms=4040 path=standard top=birthday score=2.956 tools=0 resp='My birthday is March 15th.'","standard","birthday","2.956","0","My birthday is March 15th.","PASS",,"March | 15",""
"C1-08","1","What am I allergic to?","1","09-23 14:28:34.225  6270  7421 I TestQuery: id=C1-08 cat=1 ms=4330 path=standard top=allergy score=3.034 tools=0 resp='I am allergic to shellfish.'","standard","allergy","3.034","0","I am allergic to shellfish.","PASS",,"shellfish",""
"C1-09","1","What language am I learning?","1","09-23 14:28:39.868  6270  7467 I TestQuery: id=C1-09 cat=1 ms=4187 path=standard top=learning score=3.480 tools=0 resp='I`m learning Japanese in my spare time.'","standard","learning","3.480","0","I`m learning Japanese in my spare time.","PASS",,"Japanese",""
"C1-10","1","What is my current job?","1","09-23 14:28:41.653  6270  7507 I TestQuery: id=C1-10 cat=1 ms=264 path=gate_refused top=current_job score=1.615 tools=0 resp='I don`t have information about that in my memory.'","gate_refused","current_job","1.615","0","I don`t have information about that in my memory.","FAIL",,"engineer | software | startup",""
"C2-01","2","Where do I currently live?","1","09-23 14:28:47.374  6270  7517 I TestQuery: id=C2-01 cat=2 ms=4207 path=standard top=current_city score=4.043 tools=0 resp='I currently live in Portland, Oregon.'","standard","current_city","4.043","0","I currently live in Portland, Oregon.","PASS",,"Portland",""
"C2-02","2","What city do I live in now?","1","09-23 14:28:52.864  6270  7574 I TestQuery: id=C2-02 cat=2 ms=3997 path=standard top=current_city score=3.065 tools=0 resp='I live in Portland, Oregon.'","standard","current_city","3.065","0","I live in Portland, Oregon.","PASS",,"Portland",""
"C2-03","2","What programming language do I use now?","1","09-23 14:28:58.584  6270  7660 I TestQuery: id=C2-03 cat=2 ms=4114 path=standard top=current_lang score=5.951 tools=0 resp='The answer is Rust.'","standard","current_lang","5.951","0","The answer is Rust.","PASS",,"Rust",""
"C2-04","2","What car do I drive now?","1","09-23 14:29:04.221  6270  7691 I TestQuery: id=C2-04 cat=2 ms=4189 path=standard top=current_car score=3.401 tools=0 resp='I drive a blue Subaru Outback.'","standard","current_car","3.401","0","I drive a blue Subaru Outback.","PASS",,"Subaru | Outback | blue",""
"C2-05","2","What is my current car?","1","09-23 14:29:09.989  6270  7738 I TestQuery: id=C2-05 cat=2 ms=4213 path=standard top=current_lang score=1.656 tools=0 resp='The current car is a blue Subaru Outback.'","standard","current_lang","1.656","0","The current car is a blue Subaru Outback.","PASS",,"Subaru",""
"C2-06","2","Where am I living these days?","1","09-23 14:29:11.731  6270  7781 I TestQuery: id=C2-06 cat=2 ms=283 path=gate_refused top=current_city score=1.521 tools=0 resp='I don`t have information about that in my memory.'","gate_refused","current_city","1.521","0","I don`t have information about that in my memory.","FAIL",,"Portland",""
"C2-07","2","What's my present car?","1","09-23 14:29:13.687  6270  7791 I TestQuery: id=C2-07 cat=2 ms=317 path=gate_refused top=current_car score=1.538 tools=0 resp='I don`t have information about that in my memory.'","gate_refused","current_car","1.538","0","I don`t have information about that in my memory.","FAIL",,"Subaru",""
"C2-08","2","What is my current favorite language?","1","09-23 14:29:19.391  6270  7807 I TestQuery: id=C2-08 cat=2 ms=4014 path=standard top=current_lang score=7.795 tools=0 resp='My current favorite programming language is Rust.'","standard","current_lang","7.795","0","My current favorite programming language is Rust.","PASS",,"Rust",""
"C2-09","2","Am I vegetarian?","1","09-23 14:29:24.920  6270  7848 I TestQuery: id=C2-09 cat=2 ms=3835 path=standard top=vegetarian score=3.708 tools=0 resp='Yes, I am vegetarian.'","standard","vegetarian","3.708","0","Yes, I am vegetarian.","PASS",,"yes | vegetarian",""
"C2-10","2","Do I have a pet?","1","09-23 14:29:26.696  6270  7885 I TestQuery: id=C2-10 cat=2 ms=247 path=gate_refused top=dog_fluffy score=1.652 tools=0 resp='I don`t have information about that in my memory.'","gate_refused","dog_fluffy","1.652","0","I don`t have information about that in my memory.","FAIL",,"dog | Biscuit",""
"C3-01","3","Where did I live before?","1","09-23 14:29:32.480  6270  7897 I TestQuery: id=C3-01 cat=3 ms=4326 path=standard top=past_city score=1.315 tools=0 resp='I used to live in Seattle before moving.'","standard","past_city","1.315","0","I used to live in Seattle before moving.","PASS",,"Seattle",""
"C3-02","3","What was my previous city?","1","09-23 14:29:34.315  6270  7939 I TestQuery: id=C3-02 cat=3 ms=330 path=gate_refused top=current_city score=0.072 tools=0 resp='I don`t have information about that in my memory.'","gate_refused","current_city","0.072","0","I don`t have information about that in my memory.","FAIL",,"Seattle",""
"C3-03","3","What language did I use to program in?","1","09-23 14:29:41.071  6270  7950 I TestQuery: id=C3-03 cat=3 ms=5153 path=standard top=current_lang score=3.553 tools=0 resp='The user mentioned that their current favorite programming language is Rust. Therefore, the answer is Rust.'","standard","current_lang","3.553","0","The user mentioned that their current favorite programming language is Rust. Therefore, the answer is Rust.","FAIL",,"Python",""
